Channels,OfferedLoad,SimulatedBlockingProb
1,1.00,0.500114
1,2.00,0.666877
1,3.00,0.749971
1,4.00,0.800009
1,5.00,0.833351
1,6.00,0.857172
1,7.00,0.875048
1,8.00,0.888882
1,9.00,0.899963
1,10.00,0.909067
1,11.00,0.916668
1,12.00,0.923094
1,13.00,0.928582
1,14.00,0.933362
1,15.00,0.937508
1,16.00,0.941185
1,17.00,0.944441
1,18.00,0.947376
1,19.00,0.950029
1,20.00,0.952401
2,1.00,0.200157
2,2.00,0.399941
2,3.00,0.529573
2,4.00,0.615428
2,5.00,0.675694
2,6.00,0.719921
2,7.00,0.753986
2,8.00,0.780555
2,9.00,0.802093
2,10.00,0.819725
2,11.00,0.834505
2,12.00,0.847113
2,13.00,0.857860
2,14.00,0.867266
2,15.00,0.875556
2,16.00,0.882758
2,17.00,0.889249
2,18.00,0.895048
2,19.00,0.900235
2,20.00,0.904948
3,1.00,0.062575
3,2.00,0.210473
3,3.00,0.346393
3,4.00,0.450927
3,5.00,0.529785
3,6.00,0.590327
3,7.00,0.637571
3,8.00,0.675591
3,9.00,0.706486
3,10.00,0.732131
3,11.00,0.753605
3,12.00,0.772095
3,13.00,0.788099
3,14.00,0.801899
3,15.00,0.814115
3,16.00,0.824820
3,17.00,0.834575
3,18.00,0.843091
3,19.00,0.850736
3,20.00,0.857803
4,1.00,0.015423
4,2.00,0.095478
4,3.00,0.206217
4,4.00,0.311019
4,5.00,0.398685
4,6.00,0.469812
4,7.00,0.527582
4,8.00,0.574649
4,9.00,0.613846
4,10.00,0.646903
4,11.00,0.674568
4,12.00,0.698559
4,13.00,0.719192
4,14.00,0.737267
4,15.00,0.753259
4,16.00,0.767545
4,17.00,0.780129
4,18.00,0.791355
4,19.00,0.801654
4,20.00,0.811017
5,1.00,0.003058
5,2.00,0.036778
5,3.00,0.110239
5,4.00,0.199483
5,5.00,0.285058
5,6.00,0.360550
5,7.00,0.424830
5,8.00,0.479099
5,9.00,0.525038
5,10.00,0.564100
5,11.00,0.597241
5,12.00,0.626350
5,13.00,0.651584
5,14.00,0.673639
5,15.00,0.693009
5,16.00,0.710720
5,17.00,0.726275
5,18.00,0.740317
5,19.00,0.752936
