OfferedLoad,Operators,MeanPatienceTime,WaitingProbability
1.00,5,5,0.002500
1.00,5,5,0.002500
2.00,5,5,0.059182
2.00,5,5,0.059182
3.00,5,5,0.238053
3.00,5,5,0.238053
4.00,5,5,0.521688
4.00,5,5,0.521688
5.00,5,5,0.811612
5.00,5,5,0.811612
6.00,5,5,0.988279
6.00,5,5,0.988279
7.00,5,5,0.999358
7.00,5,5,0.999358
8.00,5,5,0.999446
8.00,5,5,0.999446
9.00,5,5,0.999507
9.00,5,5,0.999507
10.00,5,5,0.999554
10.00,5,5,0.999554
11.00,5,5,0.999595
11.00,5,5,0.999595
12.00,5,5,0.999630
12.00,5,5,0.999630
13.00,5,5,0.999660
13.00,5,5,0.999660
14.00,5,5,0.999684
14.00,5,5,0.999684
15.00,5,5,0.999706
15.00,5,5,0.999706
16.00,5,5,0.999723
16.00,5,5,0.999723
17.00,5,5,0.999739
17.00,5,5,0.999739
18.00,5,5,0.999782
18.00,5,5,0.999782
19.00,5,5,0.999794
19.00,5,5,0.999794
20.00,5,5,0.999803
20.00,5,5,0.999803
1.00,5,10,0.002500
1.00,5,10,0.002500
2.00,5,10,0.059059
2.00,5,10,0.059059
3.00,5,10,0.239271
3.00,5,10,0.239271
4.00,5,10,0.527488
4.00,5,10,0.527488
5.00,5,10,0.847218
5.00,5,10,0.847218
6.00,5,10,0.995961
6.00,5,10,0.995961
7.00,5,10,0.999364
7.00,5,10,0.999364
8.00,5,10,0.999448
8.00,5,10,0.999448
9.00,5,10,0.999509
9.00,5,10,0.999509
10.00,5,10,0.999556
10.00,5,10,0.999556
11.00,5,10,0.999596
11.00,5,10,0.999596
12.00,5,10,0.999628
12.00,5,10,0.999628
13.00,5,10,0.999658
13.00,5,10,0.999658
14.00,5,10,0.999685
14.00,5,10,0.999685
15.00,5,10,0.999704
15.00,5,10,0.999704
16.00,5,10,0.999723
16.00,5,10,0.999723
17.00,5,10,0.999738
17.00,5,10,0.999738
18.00,5,10,0.999783
18.00,5,10,0.999783
19.00,5,10,0.999794
19.00,5,10,0.999794
20.00,5,10,0.999803
20.00,5,10,0.999803
1.00,10,5,0.000000
1.00,10,5,0.000000
2.00,10,5,0.000000
2.00,10,5,0.000000
3.00,10,5,0.000900
3.00,10,5,0.000900
4.00,10,5,0.009697
4.00,10,5,0.009697
5.00,10,5,0.035679
5.00,10,5,0.035679
6.00,10,5,0.096655
6.00,10,5,0.096655
7.00,10,5,0.216945
7.00,10,5,0.216945
8.00,10,5,0.377191
8.00,10,5,0.377191
9.00,10,5,0.578488
9.00,10,5,0.578488
10.00,10,5,0.804601
10.00,10,5,0.804601
11.00,10,5,0.957229
11.00,10,5,0.957229
12.00,10,5,0.992988
12.00,10,5,0.992988
13.00,10,5,0.998618
13.00,10,5,0.998618
14.00,10,5,0.999000
14.00,10,5,0.999000
15.00,10,5,0.999080
15.00,10,5,0.999080
16.00,10,5,0.999136
16.00,10,5,0.999136
17.00,10,5,0.999187
17.00,10,5,0.999187
18.00,10,5,0.999236
18.00,10,5,0.999236
19.00,10,5,0.999275
19.00,10,5,0.999275
20.00,10,5,0.999304
20.00,10,5,0.999304
1.00,10,10,0.000000
1.00,10,10,0.000000
2.00,10,10,0.000000
2.00,10,10,0.000000
3.00,10,10,0.000900
3.00,10,10,0.000900
4.00,10,10,0.009697
4.00,10,10,0.009697
5.00,10,10,0.035679
5.00,10,10,0.035679
6.00,10,10,0.099910
6.00,10,10,0.099910
7.00,10,10,0.220847
7.00,10,10,0.220847
8.00,10,10,0.398647
8.00,10,10,0.398647
9.00,10,10,0.624606
9.00,10,10,0.624606
10.00,10,10,0.878077
10.00,10,10,0.878077
11.00,10,10,0.996822
11.00,10,10,0.996822
12.00,10,10,0.998670
12.00,10,10,0.998670
13.00,10,10,0.998855
13.00,10,10,0.998855
14.00,10,10,0.999012
14.00,10,10,0.999012
15.00,10,10,0.999076
15.00,10,10,0.999076
16.00,10,10,0.999135
16.00,10,10,0.999135
17.00,10,10,0.999193
17.00,10,10,0.999193
18.00,10,10,0.999232
18.00,10,10,0.999232
19.00,10,10,0.999273
19.00,10,10,0.999273
20.00,10,10,0.999310
20.00,10,10,0.999310
